Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Austral Negrito,Yes,109,48,1,108
Arctic Tern,Yes,116,9,7,107
Long-tailed Duck,Yes,111,6,5,107
Reddish Egret,Yes,108,2,2,106
Spotted Towhee,Yes,108,2,2,106
Common Murre,Yes,107,1,1,106
Green-tailed Towhee,Yes,107,1,1,106
Swallow-tailed Gull,Yes,107,3,3,104
Green Jay,Yes,105,1,1,104
Jabiru,Yes,105,1,1,104
Snowy Sheathbill,No,104,1,2,103
Atlantic Petrel,No,104,3,4,102
Musk Ox,No,102,0,1,102
Choco Toucan,Yes,101,1,1,100
Least Tern,Yes,100,1,1,99
Tricolored Heron,Yes,100,1,1,99
Long-tailed Meadowlark,No,99,31,3,99
Kelp Gull,Yes,101,3,5,98
Upland Goose,No,100,12,5,97
Merlin,Yes,98,1,1,97
Puna Miner,No,98,1,1,97
Ruddy Turnstone,Yes,97,1,1,96
Bat Falcon,Yes,97,2,2,95
Roadside Hawk,Yes,97,3,3,94
Sooty Albatross,No,97,4,4,94
Northern Cardinal,Yes,95,1,1,94
Snowy Egret,Yes,95,1,1,94
Toasts,No,94,0,0,94
Striated Heron,Yes,94,1,1,93
Solitary Sandpiper,Yes,93,2,2,91
American Oystercatcher,Yes,92,1,1,91
Eared Grebe,Yes,92,1,1,91
Garden,No,89,0,0,89
Storm Petrel,No,89,0,2,89
Vermilion Flycatcher,Yes,90,2,3,88
Cooper's Hawk,Yes,89,1,1,88
Barred Owl,Yes,87,1,1,86
Chestnut-backed Chickadee,Yes,87,1,1,86
Common Yellowthroat,Yes,87,2,2,85
Blue Whale,No,85,0,0,85
Groom Get Ready,No,85,0,0,85
Squirrel Cuckoo,Yes,86,3,3,83
Red-throated Loon,Yes,84,1,1,83
Moose,No,83,0,1,83
Dolphin Gull,No,84,2,2,82
Barrow's Goldeneye,Yes,81,1,1,80
Weddell Seal,No,80,0,5,80
Magellanic Oystercatcher,No,81,2,3,79
Yellow-rumped Warbler,Yes,79,1,1,78
Southern Fulmar,No,81,4,4,77
Red-footed Booby,Yes,79,2,2,77
Lapland Longspur,Yes,79,3,3,76
Oilbird,Yes,79,3,3,76
Dunlin,Yes,78,2,2,76
Western Meadowlark,Yes,78,2,2,76
Barn Owl,No,76,0,1,76
Mountain Goat,No,76,0,0,76
Galapagos Mockingbird,No,78,3,4,75
White-headed Woodpecker,Yes,75,1,1,74
Pileated Woodpecker,Yes,75,2,2,73
Sea Otter,No,72,0,0,72
Sandwich Tern,Yes,83,12,12,71
Northern Harrier,Yes,71,1,1,70
Puna Plover,No,71,1,1,70
Red-shouldered Hawk,Yes,71,1,1,70
Western Kingbird,Yes,71,1,1,70
Cattle Egret,No,70,0,1,70
Greater Flamingo,Yes,70,2,2,68
Marine Otter,No,68,0,0,68
Wattled Jacana,No,71,4,4,67
Yellow-headed Blackbird,Yes,68,2,2,66
Golden-fronted Woodpecker,Yes,67,1,1,66
Northern Jacana,Yes,67,2,2,65
Flightless Cormorant,Yes,66,1,1,65
Tree Swallow,Yes,65,1,1,64
Red-legged Honeycreeper,Yes,66,3,3,63
Grey-headed Albatross,No,63,0,1,63
Mantled Howler Monkey,No,63,0,1,63
White-capped Albatross,No,65,3,2,62
Masked Trogon,No,64,2,2,62
